#,Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng,Symbol,Date_datetime
2673,MakeMyTrip,New Delhi,India,Asia,350.0,2020-08-31,10.0,3500.0,3150.0,Travel,Post-IPO,$548,2020,28.65195,77.23149,MMYT,2020-08-31
2630,Dropbox,San Francisco Bay Area,USA,North America,315.0,2021-01-13,15.0,2100.0,1785.0,Other,Post-IPO,$1700,2021,37.77493,-122.41942,DBX,2021-01-13
2600,Treehouse,Portland,USA,North America,41.0,2021-09-14,90.0,46.0,5.0,Education,Series B,$12,2021,45.52345,-122.67621,THS,2021-09-14
2594,Zillow,Seattle,USA,North America,2000.0,2021-11-02,25.0,8000.0,6000.0,Real Estate,Post-IPO,$97,2021,47.60621,-122.33207,Z,2021-11-02
2582,Peloton,New York City,USA,North America,2800.0,2022-02-08,20.0,14000.0,11200.0,Fitness,Post-IPO,,2022,40.71427,-74.00597,PTON,2022-02-08
2537,Blend,San Francisco Bay Area,USA,North America,200.0,2022-04-19,10.0,2000.0,1800.0,Finance,Post-IPO,$665,2022,37.77493,-122.41942,BLND,2022-04-19
2530,Robinhood,San Francisco Bay Area,USA,North America,340.0,2022-04-26,9.0,3778.0,3438.0,Finance,Post-IPO,$5600,2022,37.45383,-122.18219,HOOD,2022-04-26
2510,Vroom,New York City,USA,North America,270.0,2022-05-09,14.0,1929.0,1659.0,Transportation,Post-IPO,,2022,40.71427,-74.00597,VRM,2022-05-09
2505,Carvana,Phoenix,USA,North America,2500.0,2022-05-10,12.0,20833.0,18333.0,Transportation,Post-IPO,,2022,33.44838,-112.07404,CVNA,2022-05-10
2506,Doma,San Francisco Bay Area,USA,North America,310.0,2022-05-10,15.0,2067.0,1757.0,Finance,Post-IPO,$679,2022,37.77493,-122.41942,DOMA,2022-05-10
2492,Netflix,San Francisco Bay Area,USA,North America,150.0,2022-05-17,1.0,15000.0,14850.0,Media,Post-IPO,$121900,2022,37.22661,-121.97468,NFLX,2022-05-17
2489,Skillz,San Francisco Bay Area,USA,North America,70.0,2022-05-20,10.0,700.0,630.0,Consumer,Post-IPO,$287,2022,37.77493,-122.41942,SKLZ,2022-05-20
2468,Bolt,San Francisco Bay Area,USA,North America,240.0,2022-05-25,27.0,889.0,649.0,Finance,Series E,$1300,2022,37.77493,-122.41942,BOLT,2022-05-25
2405,Bird,Los Angeles,USA,North America,138.0,2022-06-07,23.0,600.0,462.0,Transportation,Post-IPO,$783,2022,34.05223,-118.24368,BLBD,2022-06-07
2396,Sonder,San Francisco Bay Area,USA,North America,250.0,2022-06-08,21.0,1190.0,940.0,Travel,Post-IPO,$839,2022,37.77493,-122.41942,SOND,2022-06-08
2385,Stitch Fix,San Francisco Bay Area,USA,North America,330.0,2022-06-09,15.0,2200.0,1870.0,Retail,Post-IPO,$79,2022,37.77493,-122.41942,SFIX,2022-06-09
2388,Hologram,Chicago,USA,North America,80.0,2022-06-09,40.0,200.0,120.0,Infrastructure,Series B,$82,2022,41.85003,-87.65005,HOLO,2022-06-09
2380,Albert,Los Angeles,USA,North America,20.0,2022-06-10,8.0,250.0,230.0,Finance,Series C,$175,2022,34.05223,-118.24368,ACI,2022-06-10
2363,Compass,New York City,USA,North America,450.0,2022-06-14,10.0,4500.0,4050.0,Real Estate,Post-IPO,,2022,40.71427,-74.00597,COMP,2022-06-14
2362,Redfin,Seattle,USA,North America,470.0,2022-06-14,8.0,5875.0,5405.0,Real Estate,Post-IPO,$319,2022,47.60621,-122.33207,RDFN,2022-06-14
2361,Coinbase,San Francisco Bay Area,USA,North America,1100.0,2022-06-14,18.0,6111.0,5011.0,Crypto,Post-IPO,$549,2022,37.77493,-122.41942,COIN,2022-06-14
2327,Community,Los Angeles,USA,North America,40.0,2022-06-21,30.0,133.0,93.0,Marketing,Unknown,$40,2022,34.05223,-118.24368,CBU,2022-06-21
